"","Year","AirportName","Temperature"
"266",2010,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",15.8916666666667
"267",2010,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",16.4166666666667
"268",2010,"NEW RIVER MCAF, NC US",15.7636363636364
"269",2010,"WILMINGTON INTERNATIONAL AIRPORT, NC US",17.1916666666667
"270",2011,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",18.6416666666667
"271",2011,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",17.075
"272",2011,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",17.675
"273",2011,"NEW RIVER MCAF, NC US",17.6083333333333
"274",2011,"WILMINGTON INTERNATIONAL AIRPORT, NC US",18.175
"275",2012,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",18.4833333333333
"276",2012,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",18.05
"277",2012,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",17.8583333333333
"278",2012,"NEW RIVER MCAF, NC US",17.775
"279",2012,"WILMINGTON INTERNATIONAL AIRPORT, NC US",18.4333333333333
"280",2013,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",17.6166666666667
"281",2013,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",15.9833333333333
"282",2013,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",17.4083333333333
"283",2013,"NEW RIVER MCAF, NC US",17.5545454545455
"284",2013,"WILMINGTON INTERNATIONAL AIRPORT, NC US",17.4666666666667
"285",2014,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",16.7666666666667
"286",2014,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",15.7083333333333
"287",2014,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",17.3833333333333
"288",2014,"NEW RIVER MCAF, NC US",16.8833333333333
"289",2014,"WILMINGTON INTERNATIONAL AIRPORT, NC US",17.6
"290",2015,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",17.8916666666667
"291",2015,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",16.6333333333333
"292",2015,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",18.0083333333333
"293",2015,"NEW RIVER MCAF, NC US",18.0583333333333
"294",2015,"WILMINGTON INTERNATIONAL AIRPORT, NC US",18.525
"295",2016,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",18.4
"296",2016,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",16.6166666666667
"297",2016,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",17.7333333333333
"298",2016,"NEW RIVER MCAF, NC US",18.1
"299",2016,"WILMINGTON INTERNATIONAL AIRPORT, NC US",18.4166666666667
"300",2017,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",19.0166666666667
"301",2017,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",17.1
"302",2017,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",17.8416666666667
"303",2017,"NEW RIVER MCAF, NC US",18.3666666666667
"304",2017,"WILMINGTON INTERNATIONAL AIRPORT, NC US",18.8
"305",2018,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",19.7636363636364
"306",2018,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",17.0666666666667
"307",2018,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",17.3166666666667
"308",2018,"NEW RIVER MCAF, NC US",18.325
"309",2018,"WILMINGTON INTERNATIONAL AIRPORT, NC US",18.4166666666667
"310",2019,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",19.25
"311",2019,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",17.65
"312",2019,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",18.025
"313",2019,"NEW RIVER MCAF, NC US",18.7333333333333
"314",2019,"WILMINGTON INTERNATIONAL AIRPORT, NC US",19.0583333333333
"315",2020,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",19.3333333333333
"316",2020,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",17.9666666666667
"317",2020,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",17.8666666666667
"318",2020,"NEW RIVER MCAF, NC US",18.5416666666667
"319",2020,"WILMINGTON INTERNATIONAL AIRPORT, NC US",19.0583333333333
