County,Land Cover,1996 sq.mi,2001 sq.mi,2006 sq.mi,2011 sq.mi,2016 sq.mi,,,,,,,,,,
Pitt,AGR,260.65,261.69,259.14,256.64,256.44,,,,,,,,,,
Pitt,FOR,128.95,124.49,111.03,114.99,120.54,,,,,,,,,,
Pitt,SCB,31.81,35.72,38.13,42.29,36.57,,,,,,,,,,
Pitt,WDW,152.11,146.16,142.79,145.01,144.17,,,,,,,,,,
Pitt,EMW,6.65,7.9,10.29,6.61,8.12,,,,,,,,,,
Pitt,BAR,0.59,0.52,1.34,1.09,1.08,,,,,,,,,,
Pitt,WTR,6.34,6.75,7.08,8.42,7.49,,,,,,,,,,
Robeson,HID,6.26,6.42,7.07,7.98,8.5,,,,,,,,,,
Robeson,LID,35.78,36.5,36.97,37.3,37.7,,,,,,,,,,
Robeson,OSD,11.19,12.06,12.81,13.8,16.65,,,,,,,,,,
Robeson,GRS,13.4,10.63,8.7,6.04,7.75,,,,,,,,,,
Robeson,AGR,388.16,390.85,389.77,389.6,388.55,,,,,,,,,,
Robeson,FOR,126.29,125.27,128.33,128.22,124.04,,,,,,,,,,
Robeson,SCB,45.08,47.9,45.76,46.91,46.3,,,,,,,,,,
Robeson,WDW,312.75,305.1,307.63,300.28,298.42,,,,,,,,,,
Robeson,EMW,7.42,11.42,8.42,14.71,16.19,,,,,,,,,,
Robeson,BAR,0.14,0.05,0.43,0.21,0.81,,,,,,,,,,
Robeson,WTR,4.57,4.84,5.14,5.98,6.12,,,,,,,,,,
Sampson,HID,2.66,2.68,2.81,3.1,3.24,,,,,,,,,,
Sampson,LID,25.86,26.16,26.27,26.36,26.47,,,,,,,,,,
Sampson,OSD,9.14,9.21,9.53,10.06,10.94,,,,,,,,,,
Sampson,GRS,16.23,20.89,29.12,29.29,28.2,,,,,,,,,,
Sampson,AGR,373.38,376.54,377.23,378.07,378.94,,,,,,,,,,
Sampson,FOR,240.62,230.74,219.35,227.38,219.46,,,,,,,,,,
Sampson,SCB,79.09,88.96,89.79,80.38,88.01,,,,,,,,,,
Sampson,WDW,186.9,178.73,173.43,171.87,172.59,,,,,,,,,,
Sampson,EMW,7.84,7.69,10.66,12.19,11.5,,,,,,,,,,
Sampson,BAR,0.37,0.33,2.36,2.53,1.95,,,,,,,,,,
Sampson,WTR,5.36,5.51,6.92,6.24,6.16,,,,,,,,,,
Scotland,HID,2.7,2.71,2.91,3.01,3.3,,,,,,,,,,
Scotland,LID,13.35,13.73,13.81,13.55,13.72,,,,,,,,,,
Scotland,OSD,6.69,6.83,6.98,7.29,7.39,,,,,,,,,,
Scotland,GRS,16.89,19.61,16.9,16.24,18.22,,,,,,,,,,
Scotland,AGR,70.8,71.7,71.46,71.97,71.72,,,,,,,,,,
Scotland,FOR,103.67,101.45,99.52,100.93,96.37,,,,,,,,,,
Scotland,SCB,23.4,22.35,26.64,25.42,27.79,,,,,,,,,,
Scotland,WDW,78.9,77.65,77.8,75.77,75.36,,,,,,,,,,
Scotland,EMW,2.02,2.27,2.03,3.66,4.06,,,,,,,,,,
